name,code_name,role,affiliation,occurred,disclosed,disclosed_by,forensics_by,pegasus_project,tech_notified,device_type,attack_result,lockdown_bypass,attack_vector,exploit_name,first_activity,last_activity,operator,sources
Michalis Bekiris,,Politician,Director of the office of Prime Minister in Greece,2021,2022-11-14; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://www.documentonews.gr/article/oi-dikoi-toy-anthropoi-ston-kyklo-tis-parakoloythisis; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Giorgos Gerapetritis,,Politician,Minister of State in Greece,2021,2022-11-14; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://www.documentonews.gr/article/oi-dikoi-toy-anthropoi-ston-kyklo-tis-parakoloythisis; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
May Zanni,,Politician,Special Advisor to the Prime Minister in Greece,2021,2022-11-14; 2023-07-27,Documento; Inside Story,Citizen Lab,,,,Successful,,SMS,,2021-08,2021-08,Greece,https://www.documentonews.gr/article/oi-dikoi-toy-anthropoi-ston-kyklo-tis-parakoloythisis; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Filippos Vryonis,,Executive,,2021,2022-11-14; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://www.documentonews.gr/article/oi-dikoi-toy-anthropoi-ston-kyklo-tis-parakoloythisis; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Anna Stratinaki,,Lawyer,Secretary General for Labor in Greece,2021,2023-01-30; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://www.documentonews.gr/article/ypo-parakoloythisi-ntora-kostas-kai-alexia-mpakogianni/; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Tina Messaropoulou,,Journalist,Wife of Secretary General of the Greek Parliament,2021,2023-01-30; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://www.documentonews.gr/article/ypo-parakoloythisi-ntora-kostas-kai-alexia-mpakogianni/; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Tasos Papageorgiou,,Staff,National Intelligence Service in Greece,2021,2023-01-30; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://www.documentonews.gr/article/ypo-parakoloythisi-ntora-kostas-kai-alexia-mpakogianni/; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Lakis Lazopoulos,,Actor,,2021,2023-01-30; 2023-07-27,Documento; Inside Story,,,,,Attempted,,SMS,,,,Greece,https://www.documentonews.gr/article/ypo-parakoloythisi-ntora-kostas-kai-alexia-mpakogianni/; https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Thanos Plevris,,Politician,Minister for Health in Greece,2021,2023-07-27,Inside Story,,,,,Attempted,,SMS,,,,Greece,https://insidestory.gr/article/predatorgate-ti-egrafan-ta-sms-pagida-poy-elavan-epiheirimaties-ypoyrgoi-kai-dimosiografoi
Ahmed Tantawy,,Politician,Aspiring presidential candidate in Egypt,2023,2023-09-14,Mada Masr,Citizen Lab,,,,Attempted,,SMS,,2023-05,2023-09,,https://www.madamasr.com/en/2023/09/14/news/u/aspiring-presidential-candidate-ahmed-tantawi-targeted-by-predator-spyware/
